"","institutionCode","catalogNumber","order","family","genus","scientificName","sex","recordedBy","recordNumber","eventDate","locality","decimalLatitude","decimalLongitude","verbatimElevationInMeters","DEMElevationInMeters","basisOfRecord","recordSource","county","residuals","percentDeviation"
"36","FMNH","52835","Rodentia","Heteromyidae","Chaetodipus","Chaetodipus baileyi",NA,"W. H. Osgood","WHO-7322",1942-01-25,"Santa Catalina Mts",32.430378,-110.705345,2027.826685,2027.826685,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,-4.2101174422915,5.68711041682561
"37","FMNH","52834","Rodentia","Heteromyidae","Chaetodipus","Chaetodipus baileyi",NA,"W. H. Osgood","WHO-7321",1942-01-25,"Santa Catalina Mts",32.430378,-110.705345,2027.826685,2027.826685,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,-4.2101174422915,5.68711041682561
"38","FMNH","52833","Rodentia","Heteromyidae","Chaetodipus","Chaetodipus baileyi",NA,"W. H. Osgood","WHO-7320",1942-01-25,"Santa Catalina Mts",32.430378,-110.705345,2027.826685,2027.826685,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,-4.2101174422915,5.68711041682561
"39","FMNH","52832","Rodentia","Heteromyidae","Chaetodipus","Chaetodipus baileyi",NA,"W. H. Osgood","WHO-7319",1942-01-25,"Santa Catalina Mts",32.430378,-110.705345,2027.826685,2027.826685,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,-4.2101174422915,5.68711041682561
"40","FMNH","52831","Rodentia","Heteromyidae","Chaetodipus","Chaetodipus baileyi",NA,"W. H. Osgood","WHO-7318",1942-01-25,"Santa Catalina Mts",32.430378,-110.705345,2027.826685,2027.826685,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,-4.2101174422915,5.68711041682561
"41","FMNH","52821","Rodentia","Cricetidae","Neotoma","Neotoma albigula",NA,"W. H. Osgood","WHO-7351",1942-01-30,"Santa Catalina Mts",32.430378,-110.705345,2027.826685,2027.826685,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,-4.2101174422915,5.68711041682561
"42","FMNH","52820","Rodentia","Cricetidae","Neotoma","Neotoma albigula",NA,"W. H. Osgood","WHO-7329",1942-01-26,"Santa Catalina Mts",32.430378,-110.705345,2027.826685,2027.826685,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,-4.2101174422915,5.68711041682561
"43","FMNH","52819","Rodentia","Cricetidae","Neotoma","Neotoma albigula",NA,"W. H. Osgood","WHO-7328",1942-01-26,"Santa Catalina Mts",32.430378,-110.705345,2027.826685,2027.826685,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,-4.2101174422915,5.68711041682561
"44","FMNH","52812","Rodentia","Sciuridae","Ammospermophilus","Ammospermophilus harrisii",NA,"W. H. Osgood","WHO-7337",1942-01-28,"Santa Catalina Mts",32.430378,-110.705345,2027.826685,2027.826685,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,-4.2101174422915,5.68711041682561
"45","FMNH","52811","Rodentia","Sciuridae","Ammospermophilus","Ammospermophilus harrisii",NA,"W. H. Osgood","WHO-7331",1942-01-26,"Santa Catalina Mts",32.430378,-110.705345,2027.826685,2027.826685,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,-4.2101174422915,5.68711041682561
